no,name,lon,lat
1,Haine,8.720886,51.041558
2,Frankenau,8.933333,51.1
3,Odershausen,9.107222,51.087778
4,Arnsbach,9.246005,51.054305
5,Ernsthausen,8.733812,50.984576
6,Gilserberg,9.060833,50.951944
7,Spieskappel,9.318611,50.966944
8,Oberaula,9.470833,50.858056
9,Leusel,9.233,50.7591
10,Eifa,9.34606,50.74987
11,Schrecksbach,9.283333,50.833333
12,Raboldshausen,9.5275,50.913333
13,Bracht,8.849167,50.921667
14,Kirchbauna,9.422194,51.245353
15,Sachsenberg,8.788767,51.126803
16,Lohne,9.266597,51.179247
17,Quentel,9.645833,51.199722
18,Söhrewald,9.575278,51.227222
19,Welferode,9.466389,51.030833
20,Bergheim,9.644444,51.107222
21,Solz,9.880278,51.004444
22,Affoldern,9.086389,51.166667
23,Hemfurth,9.053056,51.171944
24,Rohrbach,9.711944,50.913056
25,Mengshausen,9.618056,50.794722
26,Lengers,9.996944,50.864167
27,Bosserode,9.992203,50.951814
28,Ronshausen,9.859722,50.947778
29,Rotensee,9.7425,50.834722
30,Wickenrode,9.729722,51.257222
31,Rossbach,9.811667,51.315
32,Orferode,9.939444,51.257222
33,Velmeden,9.796389,51.213611
34,Altenburschla,10.177833,51.150333
35,Aue,10.126694,51.178689
36,Herleshausen,10.166667,51.016667
37,Röhrda,10.058333,51.1025
38,Hoheneiche,9.972108,51.128686
39,Wilhelmshausen,9.579278,51.403878
40,Ermschwerd,9.817222,51.356389
41,Deisel,9.408611,51.591389
42,Oedelsheim,9.594722,51.591111
43,Gottsbüren,9.499444,51.578889
44,Heisebeck,9.656511,51.586781
46,Michelsrombach,9.662778,50.662778
47,Kirchhasel,9.800833,50.701111
48,Großentaft,9.860339,50.740661
49,Kämmerzell,9.640833,50.600278
50,Hofaschenbach,9.845833,50.636944
51,Simmershausen,10.033889,50.5925
52,Hauswurz,9.475833,50.462778
53,Magdlos,9.514167,50.425833
54,Kerzell,9.670833,50.486389
55,Weyhers,9.8,50.466667
56,Wüstensachsen,10.003056,50.506944
57,Müs,9.504444,50.591111
58,Nordheim,8.389167,49.681667
59,Helmighausen,8.926097,51.472603
60,Rhoden,9.010047,51.475328
62,Ostheim,9.321111,51.506111
63,Rhenegge,8.770556,51.360278
64,Adorf,8.805856,51.361019
65,Wetterburg,9.059153,51.383953
66,Breuna,9.183333,51.416667
67,Schwalefeld,8.63,51.307222
68,Twiste,8.967747,51.336667
69,Meineringhausen,8.944525,51.255086
70,Freienhagen,9.066111,51.279167
71,Istha,9.228503,51.304014
72,Marienhagen,8.911228,51.211469
73,Eppe,8.771464,51.235381
74,Münden,8.747964,51.152439
75,Willingen,8.613889,51.293333
76,Offdilln,8.2302,50.8264
77,Eibach,8.324722,50.7475
78,Niederweidbach,8.485011,50.702022
79,Kölschhausen,8.397778,50.631944
80,Blasbach,8.519167,50.61
81,Kröffelbach,8.473633,50.445647
82,Kirch-Göns,8.653056,50.470833
83,Ruttershausen,8.710678,50.661645
84,Rüddingshausen,8.915497,50.688194
85,Nieder-Gemünden,9.058056,50.694167
86,Albach,8.794483,50.555692
87,Allendorf/Lahn,8.622422,50.551883
88,Göbelnrod,8.922222,50.597778
89,Ulrichstein,9.2,50.583333
90,Merlau,9.026944,50.622778
91,Engelrod,9.262778,50.579722
92,Borsdorf,8.974039,50.430808
93,Herchenhain,9.275,50.483333
94,Langendernbach,8.048333,50.539444
95,Dorndorf,8.0025,50.505
96,Elz,8.033333,50.416667
97,Heckholzhausen,8.157778,50.485
98,Erdbach,8.218611,50.689722
99,Mademühlen,8.163889,50.624722
100,Haintchen,8.316944,50.36
101,Weyer,8.223889,50.3675
103,Wildsachsen,8.361127,50.117486
104,Presberg,7.892561,50.051717
105,Stephanshausen,7.947112,50.035105
106,Panrod,8.133056,50.255
107,Reichenbach,8.373889,50.273611
108,Martinsthal,8.121111,50.0525
109,Massenheim,8.38777,50.040278
110,Springen,7.981917,50.141757
111,Dodenau,8.596111,51.025556
113,Engelbach,8.608611,50.923889
114,Oberdieten,8.415278,50.858056
115,Herzhausen,8.558611,50.825556
116,Elnhausen,8.690556,50.81
117,Wehrshausen,8.726389,50.811667
118,Niederklein,8.996389,50.794167
119,Anzefahr,8.865833,50.844722
120,Naunstadt,8.450694,50.374889
121,Münster,8.616875,50.390264
122,Ober-Florstadt,8.877017,50.326283
123,Glashütten,9.133889,50.418333
124,Hitzkirchen,9.253197,50.342937
125,Hintersteinau,9.466083,50.416258
126,Hohenzell,9.537222,50.322222
127,Heubach,9.719167,50.384167
128,Obernhain,8.5447,50.2794
129,Burg-Gräfenrode,8.796944,50.258889
130,Erbstadt,8.865339,50.269542
131,Vonhausen,9.101667,50.258333
132,Haitz,9.227104,50.209662
133,Ahl,9.396389,50.293611
134,Neuengronau,9.604197,50.27034
135,Mammolshain,8.468333,50.181667
136,Berkersheim,8.6975,50.172222
137,Dietesheim,8.855,50.123056
138,Horbach,9.161944,50.14
139,Lanzingen,9.28,50.179722
140,Lohrhaupten,9.48034,50.12949
141,Eddersheim,8.471677,50.039526
142,Götzenhain,8.715833,50.012778
143,Harreshausen,8.983889,49.971944
144,Klein-Welzheim,9.004734,50.042589
145,Schneppenhausen,8.579722,49.928333
146,Georgenhausen,8.831389,49.826944
147,Sickenhofen,8.929167,49.949722
148,Radheim,9.018056,49.888889
149,Rodau,8.579722,49.718611
150,Ernsthofen,8.741944,49.7725
151,Ober-Kinzig,8.943547,49.769687
152,Zell,8.992465,49.720914
153,Schwanheim,8.569722,49.697778
154,Schlierbach,8.765802,49.68336
155,Hüttenthal,8.940833,49.620556
156,Würzberg,9.079465,49.653932
157,Hüttenfeld,8.583333,49.6
158,Unter-Flockenbach,8.729646,49.531643
159,Siedelsbrunn,8.808056,49.549444
160,Hetzbach,8.9891,49.5933
161,Darsberg,8.851826,49.417974